SamLogic Visual Installer Professional,Create an installation package in minutes with the help of this easy to use application and distribute your software to end users
Actual Installer Free,"You can create numerous installers, without the need to script, but by simply filling out the necessary details in the forms, quickly and simply"
Actual Installer Pro,Create a professional and comprehensive setup package for your apps using this straightforward utility packed with a long list of options
Make SFX,Easily make SFX self-extracting archives in just three steps with this small utility that provides several options for the extraction method and output location
DRPU Setup Creator,Easily wrap your newly created application in a personalized installation package with the help of this intuitive software utility
Label Flow,"A complete software solution created for anyone who needs to design, store and print barcodes for any kind of service or product"
Xplore,"Create a digital catalog of all your products and present your offer to all potential customers in a modern, and convenient manner"
Screen Paver,Create a screensaver slideshow for your computer using your own digital picture collection and favorite photos with this application
IzPack,"Easily build cross-platform setup packages for your content using Java, thanks to this highly-customizable install generator for the Java platform"
PrintEnvelopeVisual,Create custom labels or envelopes with this program that allows you to define the full contact details of the sender and the receiver
BoxedApp Packer,Pack your program and third-party dependencies in a single executable file that can run unassisted for a seamless installation experience
Screensaver Factory Standard,"Easy-to-use tool which enables you to create picture, video or Flash screensavers, install them on the PC or generate self-installing files"
Screensaver Factory Enterprise,Combine stunning pictures with videos and music while adding various effects and transitions to create a screensaver for business or leisure
Screensaver Factory Professional,"Create personal or shareware screensavers for distribution, following simple wizards step-by-step, and save the output as an EXE or a SCR file"
exe4j,Easy-to-use setup builder for Java apps wrapped up in a ten-step wizard that contains standard and advanced (optional) configuration settings
eBook Factory,"Convert HTML files to EXE and compile ebooks, magazines, catalogs, price lists, etc., with the help of this application that packs various editing tools"
Wondershare DVD Slideshow Builder Deluxe,A powerful software solution that was created to provide you with a means of crating amazing slideshows and burning them onto DVDs
Wondershare DVD Slideshow Builder Standard,A reliable DVD encoder that enables you to design your own photo albums and convert them to videos suitable for iPods or other devices
HelpGear,"CHM, Web Help and PDF creation is easy with this authoring tool, which delivers a feature-rich editor with spell checking and multimedia content support"
CD Assistant,"Designed to help you track your CD collection and manage disc information by creating music databases, running on low system resources"
